file_version=91;template_version=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mux Usage,Port,Used?,ID,,Used Port List,LVDS Pair Port,SIUL MSCR#,MSCR SSS,Function,Module,Description,Direction,Type,LP,SCP,Max Signal Frequency [MHz],BGA516,Pad Internal Supply Rail,Pad Reset State,Reserved pins,Application,Block Status,Default,OERC,ODC,SMC,APC,ILS,IBE,HYS,WPDE,WPUE,INV,FILPRES,FILBYPASS,PIN SSS,I/O PIN MSCR#,pin MSCR,PORT INV,PORT SSS,PORT MSCR_MUX,Input Muxing MSCR#,Pin Used?
,PB[0],yes,310,,PB[0],,-,-,AN[0],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 0,pi,,,,,AA15,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 0 Analog Channel 0,ISENSE_U,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,16,NOT_INVERTED,,,-,NO
,PB[1],yes,314,,PB[1],,-,-,AN[1],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 1,pi,,,,,AB15,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 0 Analog Channel 1,REF2V5,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,17,NOT_INVERTED,,,-,NO
,PB[2],yes,318,,PB[2],,-,-,AN[2],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 2,pi,,,,,AD14,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 0 Analog Channel 2,VSENSE_ISON_FILT,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,18,NOT_INVERTED,,,-,NO
,PB[3],no,322,,0,,-,-,AN[3],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 3,pi,,,,,AB14,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,19,NOT_INVERTED,,,-,NO
,PD[11],no,1463,,0,,-,-,AN[4],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 4,pi,,,,,AA14,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,59,NOT_INVERTED,,,-,NO
,PE[13],no,1927,,0,,-,-,AN[5],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 5,pi,,,,,AE14,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,77,NOT_INVERTED,,,-,NO
,PB[4],no,325,,0,,-,-,AN[6],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 6,pi,,,,,AA13,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,20,NOT_INVERTED,,,-,NO
,PE[14],no,1931,,0,,-,-,AN[7],ADC SAR 12b 0,ADC SAR 12b 0 Analog Channel 7,pi,,,,,AB13,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,78,NOT_INVERTED,,,-,NO
,PA[0],no,24,,0,,608,00000100,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Strong-Medium-Weak,LP,,,F22,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,0,NOT_INVERTED,4,00000004,608,YES
,PC[1],no,513,,0,,608,00000001,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Medium-Weak,,,,M7,VDD_HV_IO_MAIN2,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,33,NOT_INVERTED,1,00000001,608,NO
